# Time	Flux
4.5406800000e+07 9.4361001499e+00
4.5408600000e+07 9.4270023993e+00
4.5410400000e+07 9.4460835319e+00
4.5412200000e+07 9.4716077799e+00
4.5414000000e+07 9.4868988083e+00
4.5415800000e+07 9.5235817902e+00
4.5417600000e+07 9.5240097848e+00
4.5419400000e+07 9.5243838938e+00
4.5421200000e+07 9.5257089671e+00
4.5423000000e+07 9.5210489892e+00
4.5424800000e+07 9.5492988723e+00
4.5426600000e+07 9.5489190723e+00
4.5428400000e+07 9.5557902350e+00
4.5430200000e+07 9.5771679217e+00
4.5432000000e+07 9.5712858828e+00
4.5433800000e+07 9.5809259799e+00
4.5435600000e+07 9.5587205820e+00
4.5437400000e+07 9.5373058299e+00
4.5439200000e+07 9.5386506765e+00
4.5441000000e+07 9.5309850097e+00
4.5442800000e+07 9.5373824462e+00
4.5444600000e+07 9.5243538993e+00
4.5446400000e+07 9.5426800414e+00
4.5448200000e+07 9.5428009368e+00
4.5450000000e+07 9.5526168541e+00
4.5451800000e+07 9.5713176759e+00
4.5453600000e+07 9.5690187822e+00
4.5455400000e+07 9.5588666135e+00
4.5457200000e+07 9.5518654031e+00
4.5459000000e+07 9.5522591092e+00
4.5460800000e+07 9.5804828558e+00
4.5462600000e+07 9.5638295515e+00
4.5464400000e+07 9.5474128372e+00
4.5466200000e+07 9.5758853237e+00
4.5468000000e+07 9.5817825258e+00
4.5469800000e+07 9.5728245082e+00
4.5471600000e+07 9.5716573645e+00
4.5473400000e+07 9.5504050439e+00
4.5475200000e+07 9.5279237436e+00
4.5477000000e+07 9.5153386803e+00
4.5478800000e+07 9.4955028260e+00
4.5480600000e+07 9.4633906299e+00
4.5482400000e+07 9.4499094767e+00
4.5484200000e+07 9.4630494887e+00
4.5486000000e+07 9.4920797122e+00
4.5487800000e+07 9.5103837807e+00
4.5489600000e+07 9.5076620430e+00
4.5491400000e+07 9.4906787169e+00
4.5493200000e+07 9.4443966381e+00
4.5495000000e+07 9.4344297551e+00
4.5496800000e+07 9.4335925385e+00
4.5498600000e+07 9.4217753457e+00
4.5500400000e+07 9.4127942846e+00
4.5502200000e+07 9.4101636705e+00
4.5504000000e+07 9.4366195238e+00
4.5505800000e+07 9.4437804202e+00
4.5507600000e+07 9.4492300613e+00
4.5509400000e+07 9.4143802275e+00
4.5511200000e+07 9.4047853792e+00
4.5513000000e+07 9.4103497463e+00
4.5514800000e+07 9.3886085461e+00
4.5516600000e+07 9.3743492056e+00
4.5518400000e+07 9.3624325104e+00
4.5520200000e+07 9.3531639689e+00
4.5522000000e+07 9.3461295290e+00
4.5523800000e+07 9.3486707262e+00
4.5525600000e+07 9.3286778450e+00
4.5527400000e+07 9.3429583127e+00
4.5529200000e+07 9.3392768073e+00
4.5531000000e+07 9.3410468655e+00
4.5532800000e+07 9.3451654143e+00
4.5534600000e+07 9.3447881463e+00
4.5536400000e+07 9.3485078687e+00
4.5538200000e+07 9.3343342964e+00
4.5540000000e+07 9.3169545941e+00
4.5541800000e+07 9.3055360291e+00
4.5543600000e+07 9.2860079789e+00
4.5545400000e+07 9.2960939060e+00
4.5547200000e+07 9.2886064207e+00
4.5549000000e+07 9.2798686594e+00
4.5550800000e+07 9.2846952382e+00
4.5552600000e+07 9.2797282066e+00
4.5554400000e+07 9.2615650750e+00
4.5556200000e+07 9.2535086173e+00
4.5558000000e+07 9.2477828832e+00
4.5559800000e+07 9.2532533352e+00
4.5561600000e+07 9.2606781023e+00
4.5563400000e+07 9.2647966788e+00
4.5565200000e+07 9.2652017164e+00
4.5567000000e+07 9.2788020373e+00
4.5568800000e+07 9.2872737976e+00
4.5570600000e+07 9.2875265885e+00
4.5572400000e+07 9.2860679779e+00
4.5574200000e+07 9.2872396266e+00
4.5576000000e+07 9.2724255121e+00
4.5577800000e+07 9.2957159778e+00
4.5579600000e+07 9.3289790726e+00
4.5581400000e+07 9.3185381844e+00
4.5583200000e+07 9.3070475848e+00
4.5585000000e+07 9.3005966635e+00
4.5586800000e+07 9.3009617788e+00
4.5588600000e+07 9.2981376996e+00
4.5590400000e+07 9.2900101012e+00
4.5592200000e+07 9.3012776088e+00
4.5594000000e+07 9.3014451682e+00
4.5595800000e+07 9.3182769303e+00
4.5597600000e+07 9.3024159823e+00
4.5599400000e+07 9.2901653960e+00
4.5601200000e+07 9.2946199189e+00
4.5603000000e+07 9.2916644666e+00
4.5604800000e+07 9.2941047469e+00
4.5606600000e+07 9.2932922608e+00
4.5608400000e+07 9.2983187867e+00
4.5610200000e+07 9.3139790976e+00
4.5612000000e+07 9.3290543051e+00
4.5613800000e+07 9.3283303498e+00
